Programme Name,University Name,Location,Programme Code,Cut-off 2017,Cut-off 2018,Cut-off 2019,Cut-off 2020,Cut-off 2021,Cut-off 2022,Cut-off 2023
"BACHELOR OF EDUCATION (SCIENCE) PHYSICS, CHEMISTRY, BIOLOGY, MATHEMATICS, AND
COMPUTER STUDIES",KIRINYAGA UNIVERSITY,Kirinyaga County,1079137,,,28.829,31.502,28.224,,
BACHELOR OF EDUCATION (SCIENCE),TURKANA UNIVERSITY COLLEGE,Unknown,1570137,,,,31.602,22.636,22.358,24.164
BACHELOR OF BUSINESS ADMINISTRATION WITH IT,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,Siaya County,1053153,,24.509,24.237,22.361,22.544,21.444,21.375
PROGRAMME NAME,INSTITUTION NAME,Unknown,PROG CODE,,,,,,,
BACHELOR IN BUSINESS ADMINISTRATION,TECHNICAL UNIVERSITY OF MOMBASA,Unknown,1063153,26.093,23.946,25.472,24.302,22.544,21.444,21.375
BACHELOR OF BUSINESS ADMINISTRATION,DEDAN KIMATHI UNIVERSITY OF TECHNOLOGY,Nyeri County,1173153,24.822,24.644,24.776,22.361,22.544,21.444,21.375
BACHELOR OF BUSINESS ADMINISTRATION ( WITH IT),MASENO UNIVERSITY,Kisumu County,1229153,26.223,24.433,24.245,22.361,22.544,21.444,21.375
BACHELOR OF BUSINESS ADMINISTRATION,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,Meru County,1240153,25.01,24.405,25.194,22.361,22.544,21.444,21.375
BACHELOR OF BUSINESS ADMINISTRATION,RIARA UNIVERSITY,Unknown,1060153,26.525,27.349,30.119,24.574,25.306,24.258,24.913
BACHELOR IN BUSINESS ADMINISTRATION,KENYA METHODIST UNIVERSITY,Unknown,1077153,,24.968,24.372,22.361,22.544,21.444,21.375
BACHELOR IN BUSINESS ADMINISTRATION,SCOTT CHRISTIAN UNIVERSITY,Unknown,1090153,,25.032,24.569,22.361,22.544,21.444,21.375
BACHELOR IN BUSINESS ADMINISTRATION,ST PAULS UNIVERSITY,Unknown,1107153,,25.522,24.867,22.361,22.544,21.444,21.375
BACHELOR IN BUSINESS ADMINISTRATION,AFRICA INTERNATIONAL UNIVERSITY,Unknown,1119153,,25.351,24.833,22.361,22.544,21.444,21.375
BACHELOR IN BUSINESS ADMINISTRATION IN MARKETING,"UNIVERSITY OF EASTERN AFRICA, BARATON",Unknown,1181153,,24.735,25.0,22.361,22.544,21.444,21.375
BACHELOR OF BUSINESS ADMINISTRATION,PRESBYTERIAN UNIVERSITY OF EAST AFRICA,Unknown,1196153,,25.433,23.769,22.361,22.544,21.444,21.375
BACHELOR OF BUSINESS ADMINISTRATION ( WITH IT),TOM MBOYA UNIVERSITY,Homa Bay County,1515153,,24.161,23.585,22.361,22.544,21.444,21.375
BACHELOR IN BUSINESS ADMINISTRATION,KENYA ASSEMBLIES OF GOD EAST UNIVERSITY,Unknown,1555153,,25.092,24.303,22.361,22.544,21.444,21.375
BACHELOR OF BUSINESS ADMINISTRATION,GREAT LAKES UNIVERSITY OF KISUMU,Unknown,1192153,,,,,,,21.375
BACHELOR OF EDUCATION(EARLY CHILDHOOD DEVELOPMENT),JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,Siaya County,1053180,,,24.182,24.318,22.636,22.358,23.906
BACHELOR OF EDUCATION (EARLY CHILDHOOD EDUCATION),MASINDE MULIRO UNIVERSITY OF SCIENCE & TECHNOLOGY,Unknown,1082180,,24.784,25.086,23.358,22.636,22.358,21.858
BACHELOR OF EDUCATION (EARLY CHILDHOOD EDUCATION),KIBABII UNIVERSITY,Unknown,1108880,25.581,25.04,24.427,24.655,22.636,22.358,22.789
BACHELOR OF EDUCATION (EARLY CHILDHOOD EDUCATION),KENYATTA UNIVERSITY,Nairobi County,1111180,,24.636,27.183,24.738,24.737,24.922,27.337
BACHELOR OF EDUCATION (EARLY CHILDHOOD EDUCATION),PWANI UNIVERSITY,Unknown,1117180,,25.04,24.56,24.658,22.636,22.358,23.231
BACHELOR OF EDUCATION IN EARLY CHILDHOOD EDUCATION,MACHAKOS UNIVERSITY,Machakos County,1170180,,25.81,24.406,23.58,22.636,22.358,21.858
